JDate,Pond,Filter,Nanodrop
178,C,SA,6.5
178,D,SA,7
181,A,GMF,4.1
181,B,GMF,53.2
181,C,GMF,2.4
181,D,GMF,2.2
181,A,SA,4.4
181,B,SA,7.2
181,C,SA,8.4
181,D,SA,6.8
